,features,score
101,2554e780890f-Hudep2_ATAC,0.019441039351706473
105,7b6873b68cb9-HUDEP2_LRF_CHIP,0.019394309978208738
109,a3d47fe12b92-Hudep2_D3_merged_LDB1.all,0.017820034402151526
108,fc063a463470-1440311_H3K9me3_H2_D3.all,0.016871468274141974
112,6b60ef98ce9a-1440313_H3K9ac_H2_D3.all,0.01686879587002042
113,671a7a45c611-1440319_H3K36me3_H2_D3.all,0.016386682098398928
107,673b219e61ad-Hudep2_D3_merged_KLF1.all,0.01581234226178503
111,da6f2ed3d4b1-Hudep2_D3_merged_TAL1.all,0.01559905219824477
102,2d9f1defe4bb-Hudep2_D3_merged_CTCF.all,0.014233871822304256
103,a0f43898fc2d-Hudep2_BCL11A,0.014007682885797559
110,04df099ccd9f-1440307_H3K4me1_H2_D3.all,0.014004136011465136
100,594de8aa9916-1440317_H3K27ac_H2_D3.all,0.013546135386437655
114,82e095a3625f-1440309_H3K4me3_H2_D3.all,0.013432793637869754
106,1c89a6d12c06-Hudep2_D3_merged_GATA1.all,0.01306483195140919
104,c79328695482-1440315_H3K27me3_H2_D3.all,0.012566739344745836
87,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_2,0.011170216332043396
55,motif_footprint_score_JASPA_MA0060.3_NFYA_0,0.011162401655133618
36,motif_footprint_score_JASPA_MA0469.2_E2F3_1,0.010715687918242282
85,motif_footprint_score_CIS-B_M4453_1.02_BCL11A_0,0.01041958431929757
70,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN2_0,0.009515019504720055
90,motif_footprint_score_CIS-B_M4640_1.02_ZBTB7A_0,0.009506371221367445
64,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_4,0.00944725360402643
76,motif_footprint_score_HSAPIENS-ENCODE-MOTIFS-ZBTB7A_KNOWN3_1,0.009439589354408093
21,motif_footprint_score_JASPA_MA0035.3_GATA1_1,0.009213821838212287
0,motif_footprint_score_Homer_known_GSE104676_BCL11A_0,0.009124345100901364
20,motif_footprint_score_JASPA_MA0035.3_GATA1_0,0.009118267227043866
62,motif_footprint_score_JASPA_MA0750.2_ZBTB7A_2,0.009035037579339187
22,motif_footprint_score_JASPA_MA0035.3_GATA1_2,0.008998863942539896
23,motif_footprint_score_JASPA_MA0035.3_GATA1_3,0.008934500452810214
35,motif_footprint_score_JASPA_MA0469.2_E2F3_0,0.00892123796500297
56,motif_footprint_score_JASPA_MA0060.3_NFYA_1,0.008871627988746807
37,motif_footprint_score_JASPA_MA0469.2_E2F3_2,0.008841544881996875
