0,7630ee924e6c-Hudep2_ATAC,35787a79304d-Hudep2_D3_merged_CTCF.all,44c76ccadce7-Hudep2_BCL11A,b0983cdb936b-Hudep2_D0_GATA1.all,38099f37f895-HUDEP2_LRF_CHIP,f953767675a6-Hudep2_D3_merged_GATA1.all,3e5c21726168-Hudep2_D3_merged_KLF1.all,b775685959b2-Hudep2_D3_merged_LDB1.all,eeb28b893ba0-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,62.7713,4.163119999999999,2.45035,11.3262,11.1082,5.65071,7.21277,6.11348,4.26064
chr11:4167500-4167501,75.2926,3.8865199999999995,1.89362,11.0993,11.7642,7.895389999999999,5.81383,6.595739999999999,4.0
chr11:4167503-4167504,75.25,3.8599300000000003,1.8829799999999999,11.0674,11.7801,7.948580000000001,5.76064,6.56915,4.0
chr11:4167534-4167535,72.7766,3.55851,1.86525,10.6933,11.8156,8.25532,5.29255,6.11525,3.9911300000000005
chr11:4167538-4167539,71.8333,3.5017699999999996,1.88652,10.6152,11.8227,8.23404,5.2358199999999995,5.98759,3.9840400000000002
chr11:4167540-4167541,71.3617,3.4734,1.89716,10.5762,11.8262,8.2234,5.20745,5.92376,3.9805
chr11:4167543-4167544,70.6543,3.43085,1.9131200000000002,10.5177,11.8316,8.20745,5.16489,5.82801,3.9751800000000004
chr11:4167547-4167548,69.711,3.37411,1.9344,10.4397,11.8387,8.186169999999999,5.10816,5.70035,3.96809
chr11:4203456-4203457,380.025,81.8936,4.5141800000000005,6.75355,16.4309,3.4840400000000002,11.0904,11.0833,5.29965
chr11:4203539-4203540,484.801,96.4433,4.03901,7.60284,14.6011,3.6223400000000003,12.2447,11.6418,6.31738
chr11:4208293-4208294,388.152,67.6348,0.9042549999999999,12.7004,34.8546,10.3404,26.0,8.113480000000001,9.24645
chr11:4208334-4208335,486.69,78.9007,0.9822700000000001,13.3369,36.633,11.3387,27.8457,8.13475,9.64894
chr11:4208336-4208337,489.785,79.2199,0.9751770000000001,13.3298,36.6933,11.3422,27.9202,8.12411,9.631210000000001
chr11:4208401-4208402,544.761,84.1135,0.666667,12.9894,37.9379,10.5656,29.7819,7.716310000000001,8.804960000000001
chr11:4208403-4208404,544.594,84.039,0.652482,12.9752,37.9521,10.4982,29.8245,7.698580000000001,8.76596
chr11:4208411-4208412,543.927,83.7411,0.595745,12.9184,38.0089,10.2287,29.9947,7.6276600000000006,8.60993
chr11:4208867-4208868,727.2639999999999,139.126,6.53723,10.405999999999999,56.227,5.75355,39.2801,9.56915,7.812060000000001
chr11:4208877-4208878,751.715,144.562,6.812060000000001,10.4238,57.6135,5.8528400000000005,39.6844,9.49823,7.828010000000001
chr11:4208881-4208882,762.197,146.75,6.9184399999999995,10.4202,58.1915,5.913119999999999,39.7979,9.44858,7.874110000000001
chr11:4208887-4208888,779.8989999999999,150.378,7.08865,10.3989,59.1702,6.040780000000001,39.9468,9.3422,7.9805
chr11:4208899-4208900,815.303,157.63299999999998,7.42908,10.3564,61.1277,6.2961,40.2447,9.129430000000001,8.19326
chr11:4208911-4208912,850.707,164.888,7.7695,10.3138,63.0851,6.551419999999999,40.5426,8.91667,8.40603
chr11:4208915-4208916,862.5089999999999,167.30700000000002,7.88298,10.2996,63.7376,6.63652,40.6418,8.84574,8.47695
chr11:4216264-4216265,426.13800000000003,10.383,8.076239999999999,133.814,27.9787,130.371,50.4681,47.0372,53.1064
chr11:4216266-4216267,432.95,10.4681,8.20745,134.856,28.0319,131.484,50.7837,47.5762,53.3865
chr11:4216271-4216272,448.991,10.6649,8.51596,137.259,28.1667,134.069,51.5,48.8422,54.0195
chr11:4216275-4216276,458.658,10.7713,8.70035,138.528,28.2801,135.502,51.8404,49.593999999999994,54.3103
chr11:4216307-4216308,531.573,11.4734,9.97695,148.238,29.1383,148.502,54.4149,56.8493,56.5869
chr11:4216317-4216318,554.161,11.6862,10.367,151.252,29.4043,152.63299999999998,55.2128,59.172,57.2961
chr11:4218202-4218203,34.9379,4.652480000000001,1.08333,8.14007,11.0567,10.4574,8.53191,7.99645,6.9858199999999995
chr11:4218204-4218205,35.1791,4.64539,1.10461,8.09752,11.1241,10.4397,8.528369999999999,8.039010000000001,7.00709
chr11:4218212-4218213,36.1436,4.61702,1.18972,7.9273,11.3936,10.3688,8.51418,8.20922,7.0922
chr11:4218233-4218234,38.0372,4.62411,1.45035,7.46099,12.1436,10.1472,8.49113,8.49645,7.16489
chr11:4218234-4218235,38.094,4.63298,1.46631,7.43085,12.1879,10.1294,8.49291,8.50177,7.1578
chr11:4218236-4218237,38.2074,4.65071,1.49823,7.37057,12.2766,10.094,8.49645,8.512410000000001,7.143619999999999
chr11:4218245-4218246,38.7181,4.7305,1.6418400000000002,7.099289999999999,12.6755,9.9344,8.512410000000001,8.56028,7.079789999999999
chr11:4218255-4218256,39.2855,4.81915,1.80142,6.79787,13.1188,9.75709,8.53014,8.613480000000001,7.00887
chr11:4218313-4218314,36.9734,5.55851,2.43794,5.06915,15.3528,8.563830000000001,8.90603,8.29965,6.1117
chr11:4218320-4218321,36.3156,5.67021,2.5,4.84574,15.6135,8.40248,8.96809,8.22518,5.97518
chr11:4353277-4353278,90.0248,5.74113,1.40603,6.8883,9.60816,6.3404300000000005,4.95567,10.3599,5.45567
chr11:4353278-4353279,90.3582,5.73759,1.4007100000000001,6.91135,9.58688,6.347519999999999,4.93794,10.3652,5.4734
chr11:4353280-4353281,90.9202,5.73227,1.3900700000000001,6.968089999999999,9.5461,6.35993,4.8971599999999995,10.3688,5.50887
chr11:4353287-4353288,92.5213,5.71986,1.35284,7.2039,9.40957,6.3971599999999995,4.7358199999999995,10.3564,5.63298
chr11:4353301-4353302,95.7234,5.6950400000000005,1.27837,7.67553,9.136519999999999,6.47163,4.413119999999999,10.3316,5.88121
chr11:4353319-4353320,99.8404,5.663119999999999,1.18262,8.28191,8.78546,6.56738,3.9982300000000004,10.2996,6.20035
chr11:4353343-4353344,97.4716,5.76064,1.0461,8.895389999999999,8.70213,6.719860000000001,3.62411,9.92021,6.36348
chr11:4403276-4403277,291.07099999999997,6.86525,2.84397,4.09929,8.5,17.7252,11.6206,13.3404,9.37589
chr11:4403325-4403326,375.631,7.68085,3.4237599999999997,4.50177,8.2234,19.4521,13.0904,16.3723,12.2819
chr11:4403327-4403328,377.358,7.69504,3.44149,4.50887,8.212769999999999,19.4876,13.1294,16.4433,12.3777
chr11:4403334-4403335,380.43300000000005,7.718089999999999,3.4946800000000002,4.54255,8.20213,19.5408,13.2305,16.6383,12.7128
chr11:4403346-4403347,383.667,7.7393600000000005,3.57979,4.606380000000001,8.20213,19.5833,13.3794,16.9362,13.2872
chr11:4403348-4403349,384.20599999999996,7.74291,3.5939699999999997,4.61702,8.20213,19.5904,13.4043,16.9858,13.383
chr11:4403350-4403351,384.745,7.74645,3.60816,4.62766,8.20213,19.5975,13.4291,17.0355,13.4787
chr11:4403356-4403357,386.36199999999997,7.75709,3.6507099999999997,4.6595699999999995,8.20213,19.6188,13.5035,17.1844,13.765999999999998
chr11:4514612-4514613,281.853,56.6809,6.30851,9.95922,18.828,7.969860000000001,8.31028,6.1028400000000005,4.0602800000000006
chr11:4560994-4560995,71.5869,48.8635,1.75532,4.38298,9.61525,4.22695,9.12766,7.0727,4.37057
chr11:4560996-4560997,72.5585,49.3067,1.72695,4.42553,9.64362,4.24113,9.1383,7.097519999999999,4.37057
chr11:4561023-4561024,84.9415,54.9982,1.35461,4.98404,9.99468,4.42199,9.260639999999999,7.41135,4.35461
chr11:4629078-4629079,232.09400000000002,11.7518,0.758865,3.9237599999999997,38.2323,6.17553,22.1507,10.7376,5.9095699999999995
chr11:4629151-4629152,405.906,12.3617,2.1755299999999997,6.11879,37.8883,8.33865,25.4379,10.523,8.78014
chr11:4647582-4647583,118.17200000000001,73.4344,4.84397,5.15603,10.7145,2.4007099999999997,7.83511,7.33333,5.4344
chr11:4647604-4647605,127.53399999999999,76.984,3.98582,5.0,10.9876,2.3227,8.10816,7.41135,5.66844
chr11:4647611-4647612,130.512,78.1135,3.71277,4.95035,11.0745,2.29787,8.195039999999999,7.43617,5.74291
chr11:4647612-4647613,130.938,78.2748,3.6737599999999997,4.9432599999999995,11.0869,2.29433,8.20745,7.4397199999999994,5.75355
chr11:4658295-4658296,175.61900000000003,59.7039,2.16135,5.85461,12.9628,2.25,6.6844,7.82092,4.66135
chr11:4658347-4658348,189.365,62.4273,2.24113,5.5904300000000005,12.1578,2.28191,5.61879,6.24823,4.8227
chr11:5012413-5012414,182.333,47.945,1.97518,7.005319999999999,12.1613,12.2234,5.959219999999999,8.6383,5.47518
