0,c655c3e58ac1-Hudep2_ATAC,820f2a06d086-Hudep2_D3_merged_CTCF.all,52c524063ad4-Hudep2_BCL11A,49dee89111ad-Hudep2_D0_GATA1.all,f53857d6a34e-HUDEP2_LRF_CHIP,3585bd3a8e16-Hudep2_D3_merged_GATA1.all,db7b6ad5ffef-Hudep2_D3_merged_KLF1.all,ac9bf7966583-Hudep2_D3_merged_LDB1.all,eafaa21ce305-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,63.126999999999995,4.2131099999999995,2.54918,11.4262,10.5943,5.520490000000001,7.32787,6.09836,4.11066
chr11:4167500-4167501,79.6148,3.9959,1.75,11.2459,12.123,8.2582,5.7418,6.9959,4.0
chr11:4167503-4167504,79.5533,3.97131,1.75,11.2213,12.1107,8.30738,5.69262,6.971310000000001,4.0
chr11:4167534-4167535,75.25,3.5655699999999997,1.81148,10.7541,11.8156,8.62705,5.12705,6.3196699999999995,4.0
chr11:4167538-4167539,74.25,3.5163900000000003,1.82787,10.6885,11.7664,8.59426,5.09426,6.2049199999999995,4.0
chr11:4167540-4167541,73.75,3.4918,1.83607,10.6557,11.7418,8.577869999999999,5.07787,6.14754,4.0
chr11:4167543-4167544,73.0,3.4549199999999995,1.8483599999999998,10.6066,11.7049,8.55328,5.05328,6.06148,4.0
chr11:4167547-4167548,72.0,3.40574,1.86475,10.540999999999999,11.6557,8.520489999999999,5.020490000000001,5.94672,4.0
chr11:4203456-4203457,384.67199999999997,83.1311,4.59836,6.7049199999999995,16.4467,3.34836,11.1066,11.2049,5.2582
chr11:4203539-4203540,519.795,100.689,4.17213,7.83197,14.9303,3.75,12.4139,11.75,6.66803
chr11:4208293-4208294,399.598,69.582,1.0,13.1967,35.2787,10.6885,26.2787,8.151639999999999,9.348360000000001
chr11:4208334-4208335,513.828,82.4672,1.0,13.5,37.373000000000005,11.8115,28.4959,8.06148,9.68443
chr11:4208336-4208337,516.705,82.7295,1.0,13.5,37.3893,11.8197,28.5287,8.06967,9.709019999999999
chr11:4208401-4208402,568.328,86.6639,0.737705,12.9754,38.0123,11.082,29.7746,7.856560000000001,9.06967
chr11:4208403-4208404,567.5980000000001,86.5492,0.7213109999999999,12.9426,38.0287,11.0246,29.8074,7.83197,8.9959
chr11:4208411-4208412,564.68,86.0902,0.655738,12.8115,38.0943,10.7951,29.9385,7.7336100000000005,8.70082
chr11:4208867-4208868,719.783,136.094,6.37705,10.4467,54.7049,5.64344,39.5574,9.94672,7.356560000000001
chr11:4208877-4208878,768.061,146.283,6.893439999999999,10.4877,57.2705,5.82377,40.2541,9.82377,7.43852
chr11:4208881-4208882,786.283,150.238,7.09426,10.5,58.3156,5.89754,40.4959,9.7541,7.4959
chr11:4208887-4208888,800.299,153.607,7.2663899999999995,10.5,59.3484,5.97131,40.6189,9.63115,7.61885
chr11:4208899-4208900,828.332,160.344,7.61066,10.5,61.4139,6.11885,40.8648,9.38525,7.86475
chr11:4208911-4208912,856.365,167.082,7.9549199999999995,10.5,63.4795,6.26639,41.1107,9.139339999999999,8.110660000000001
chr11:4208915-4208916,865.709,169.328,8.06967,10.5,64.168,6.31557,41.1926,9.05738,8.19262
chr11:4216264-4216265,429.85699999999997,10.4098,8.01639,134.656,28.0287,128.50799999999998,51.0861,46.0246,53.3607
chr11:4216266-4216267,436.906,10.4836,8.139339999999999,135.57399999999998,28.1189,129.32,51.3566,46.458999999999996,53.5656
chr11:4216271-4216272,458.652,10.7172,8.53689,138.418,28.3852,132.19299999999998,52.1557,47.9795,54.208999999999996
chr11:4216275-4216276,480.996,10.9631,8.96311,141.352,28.6475,135.504,52.9426,49.7172,54.8811
chr11:4216307-4216308,564.586,11.9344,10.7131,152.434,29.5287,151.041,55.5861,57.7541,57.4918
chr11:4216317-4216318,585.201,12.1803,11.1639,155.18,29.7336,155.262,56.2008,59.9262,58.1475
chr11:4218202-4218203,35.3074,4.63525,0.9057379999999999,8.32377,10.5615,10.6148,8.479510000000001,8.17623,7.29098
chr11:4218204-4218205,35.5533,4.64344,0.930328,8.282789999999999,10.6107,10.6066,8.46311,8.217210000000001,7.32377
chr11:4218212-4218213,36.5369,4.67623,1.0286899999999999,8.11885,10.8074,10.5738,8.39754,8.38115,7.4549199999999995
chr11:4218233-4218234,39.5533,4.69262,1.47951,7.40574,11.9959,10.2705,8.30738,8.80738,7.57787
chr11:4218234-4218235,39.6107,4.68852,1.4959,7.38115,12.0492,10.2541,8.31148,8.81148,7.56557
chr11:4218236-4218237,39.7254,4.6803300000000005,1.5286899999999999,7.33197,12.1557,10.2213,8.31967,8.81967,7.54098
chr11:4218245-4218246,40.2418,4.64344,1.6762299999999999,7.11066,12.6352,10.0738,8.35656,8.85656,7.4303300000000005
chr11:4218255-4218256,40.8156,4.60246,1.8401599999999998,6.86475,13.168,9.909839999999999,8.39754,8.89754,7.30738
chr11:4218313-4218314,40.0861,5.40164,2.6106599999999998,5.16803,15.582,8.598360000000001,8.860660000000001,8.459019999999999,6.09836
chr11:4218320-4218321,39.5164,5.56557,2.66393,4.97131,15.7623,8.43852,8.92623,8.35656,5.94262
