0,9d99e0c01bea-Hudep2_ATAC,208b261f9712-Hudep2_D3_merged_CTCF.all,c901e1d003c0-Hudep2_BCL11A,f5c02463d20c-Hudep2_D0_GATA1.all,73b80df8d18d-HUDEP2_LRF_CHIP,f60a6201d4a2-Hudep2_D3_merged_GATA1.all,e4c0e83f0766-Hudep2_D3_merged_KLF1.all,2f18922967dc-Hudep2_D3_merged_LDB1.all,d29509edf3ff-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,62.8161,4.16942,2.4628099999999997,11.3388,11.0434,5.6343,7.22727,6.1115699999999995,4.24174
chr11:4167500-4167501,77.0351,3.92975,1.8347099999999998,11.157,11.9112,8.043389999999999,5.78306,6.7562,4.0
chr11:4167503-4167504,76.9855,3.89876,1.8223099999999999,11.1198,11.9298,8.105369999999999,5.72107,6.725210000000001,4.0
chr11:4167534-4167535,73.5971,3.5785099999999996,1.8429799999999998,10.7355,11.7748,8.349169999999999,5.27893,6.2066099999999995,4.0
chr11:4167538-4167539,73.0517,3.5371900000000003,1.8512400000000002,10.686,11.7417,8.3657,5.2293400000000005,6.13223,4.0
chr11:4167540-4167541,72.6405,3.51033,1.8595,10.6508,11.7355,8.36364,5.20041,6.07645,3.99793
chr11:4167543-4167544,71.8161,3.46074,1.8781,10.5826,11.7417,8.34504,5.15083,5.96488,3.99174
chr11:4167547-4167548,70.7169,3.3946300000000003,1.9028900000000002,10.4917,11.75,8.32025,5.08471,5.81612,3.9834699999999996
chr11:4203456-4203457,386.103,82.9091,4.57851,6.75413,16.4194,3.4400800000000005,11.126,11.1591,5.30785
chr11:4203539-4203540,499.913,98.43799999999999,4.08678,7.723139999999999,14.8037,3.66322,12.3264,11.7066,6.47314
chr11:4208293-4208294,389.004,67.9876,0.929752,12.8368,34.9752,10.437999999999999,26.061999999999998,8.11157,9.24587
chr11:4208334-4208335,492.06199999999995,79.6074,1.0,13.3926,36.7376,11.4669,27.9236,8.14669,9.72521
chr11:4208336-4208337,496.037,80.0372,1.0,13.4008,36.7996,11.5,27.9938,8.14669,9.74174
chr11:4208401-4208402,554.411,85.1446,0.6942149999999999,12.9876,37.969,10.7624,29.7872,7.77273,8.91736
chr11:4208403-4208404,554.217,85.0579,0.677686,12.9711,37.9855,10.6839,29.8368,7.75207,8.8719
chr11:4208411-4208412,552.715,84.6446,0.61157,12.905,38.0475,10.3678,30.0269,7.66736,8.68388
chr11:4208867-4208868,727.081,139.076,6.53306,10.4112,56.1033,5.74587,39.3843,9.6219,7.716939999999999
chr11:4208877-4208878,753.775,144.779,6.822310000000001,10.4318,57.5702,5.84917,39.7562,9.53926,7.77893
chr11:4208881-4208882,764.452,147.06,6.93802,10.4401,58.157,5.8905,39.905,9.5062,7.803719999999999
chr11:4208887-4208888,780.4689999999999,150.481,7.1115699999999995,10.4525,59.0372,5.95248,40.1281,9.456610000000001,7.840910000000001
chr11:4208899-4208900,820.188,158.667,7.5,10.4153,61.2314,6.22107,40.4917,9.23347,8.05992
chr11:4208911-4208912,859.952,166.835,7.88223,10.3636,63.4525,6.51446,40.812,8.98347,8.31198
chr11:4208915-4208916,867.738,168.50400000000002,7.95661,10.3388,63.9731,6.597110000000001,40.8202,8.892560000000001,8.41116
chr11:4216264-4216265,430.496,10.4545,8.142560000000001,134.816,27.9628,130.911,50.8884,47.2004,53.4504
chr11:4216266-4216267,436.12800000000004,10.5165,8.25,135.556,28.0289,131.746,51.0868,47.6384,53.6198
chr11:4216271-4216272,450.209,10.6715,8.5186,137.405,28.1942,133.833,51.5826,48.7335,54.0434
chr11:4216275-4216276,461.473,10.7955,8.73347,138.884,28.3264,135.502,51.9793,49.6095,54.3822
chr11:4216307-4216308,548.279,11.6756,10.3037,150.384,29.3471,150.01,55.0413,57.5475,57.0558
chr11:4216317-4216318,562.163,11.7934,10.5413,152.27700000000002,29.4979,153.393,55.4938,59.4876,57.5207
chr11:4218202-4218203,35.1343,4.63636,1.0144600000000001,8.20455,10.8802,10.5124,8.51653,8.078510000000001,7.1074399999999995
chr11:4218204-4218205,35.4153,4.6281,1.03926,8.15496,10.9587,10.4917,8.5124,8.1281,7.13223
chr11:4218212-4218213,36.4401,4.60331,1.14256,7.9607399999999995,11.2727,10.4091,8.49587,8.30165,7.2107399999999995
chr11:4218233-4218234,38.3492,4.60331,1.44628,7.48347,12.0971,10.1921,8.45248,8.56198,7.25413
chr11:4218234-4218235,38.4401,4.60331,1.46074,7.4607399999999995,12.1364,10.1818,8.45041,8.57438,7.2562
chr11:4218236-4218237,38.6219,4.60331,1.48967,7.41529,12.2149,10.1612,8.44628,8.599169999999999,7.260330000000001
chr11:4218245-4218246,39.2913,4.66529,1.64463,7.136360000000001,12.6426,10.0062,8.45248,8.67355,7.216939999999999
chr11:4218255-4218256,39.9525,4.7686,1.8305799999999999,6.78512,13.1591,9.79959,8.473139999999999,8.73554,7.1343
chr11:4218313-4218314,37.688,5.5124,2.5062,5.03512,15.5165,8.537189999999999,8.90496,8.34298,6.08678
chr11:4218320-4218321,36.719,5.657019999999999,2.52066,4.8615699999999995,15.6322,8.40702,8.962810000000001,8.24174,5.97107
chr11:4353277-4353278,90.6901,5.739669999999999,1.41116,6.8905,9.584710000000001,6.31405,4.94835,10.3988,5.44835
chr11:4353278-4353279,91.0785,5.73554,1.40496,6.91736,9.55992,6.32231,4.92769,10.405,5.46901
chr11:4353280-4353281,91.8554,5.72727,1.39256,6.97107,9.51033,6.33884,4.88636,10.4174,5.510330000000001
chr11:4353287-4353288,94.5744,5.69835,1.34917,7.159089999999999,9.336780000000001,6.39669,4.74174,10.4607,5.65496
chr11:4353301-4353302,98.5496,5.66529,1.2624,7.68388,9.01446,6.4876,4.3781,10.4483,5.94421
chr11:4353319-4353320,100.93,5.64669,1.1694200000000001,8.27893,8.73554,6.59917,3.9876,10.3368,6.24174
chr11:4353343-4353344,100.029,5.67975,1.05372,8.94008,8.57025,6.7562,3.58264,10.031,6.5062
chr11:4403276-4403277,292.405,6.8843,2.8388400000000003,4.1157,8.541319999999999,17.7417,11.6405,13.376,9.334710000000001
chr11:4403325-4403326,378.31800000000004,7.7107399999999995,3.4318199999999996,4.50207,8.15702,19.5269,13.0847,16.4339,12.3079
chr11:4403327-4403328,380.33099999999996,7.72727,3.4524800000000004,4.510330000000001,8.144630000000001,19.5682,13.1302,16.5165,12.4194
chr11:4403334-4403335,387.374,7.78512,3.5247900000000003,4.53926,8.101239999999999,19.7128,13.2893,16.8058,12.8099
chr11:4403346-4403347,394.603,7.840910000000001,3.6343,4.60331,8.07025,19.845,13.5041,17.2149,13.4793
chr11:4403348-4403349,395.231,7.845039999999999,3.6508300000000005,4.6157,8.07025,19.8533,13.5331,17.2727,13.5909
chr11:4403350-4403351,395.86,7.84917,3.66736,4.6281,8.07025,19.8616,13.562000000000001,17.3306,13.7025
chr11:4403356-4403357,397.744,7.8615699999999995,3.71694,4.66529,8.07025,19.8864,13.6488,17.5041,14.0372
chr11:4514612-4514613,285.808,57.1405,6.28926,10.0558,18.9483,7.94008,8.340910000000001,6.09091,4.09917
chr11:4560994-4560995,73.0062,49.2335,1.79752,4.36364,9.67562,4.26446,9.21074,7.10537,4.47314
chr11:4560996-4560997,74.1384,49.75,1.76446,4.41322,9.708680000000001,4.28099,9.223139999999999,7.1343,4.47314
chr11:4561023-4561024,85.7169,55.2459,1.3719,5.00207,9.9938,4.45041,9.28306,7.41736,4.39256
chr11:4629078-4629079,232.688,11.7727,0.719008,3.9318199999999996,38.3533,6.18388,22.1756,10.7355,5.89463
chr11:4629151-4629152,409.671,12.2769,2.2252099999999997,6.24174,38.0558,8.18802,25.2624,10.4649,8.80579
chr11:4647582-4647583,119.17399999999999,73.9215,4.86983,5.2066099999999995,10.6921,2.4111599999999997,7.8285100000000005,7.30785,5.49174
chr11:4647604-4647605,130.47299999999998,78.1591,3.94215,5.0826400000000005,10.9236,2.33471,8.14669,7.35537,5.77893
chr11:4647611-4647612,133.63,79.3409,3.63636,5.0206599999999995,11.0227,2.30579,8.2438,7.386360000000001,5.85331
chr11:4647612-4647613,133.812,79.3946,3.60331,5.00826,11.0351,2.30165,8.25413,7.3925600000000005,5.85331
chr11:4658295-4658296,179.44,60.7293,2.14669,5.8719,13.0599,2.25,6.7562,7.83264,4.7293400000000005
chr11:4658347-4658348,195.06599999999997,63.4897,2.2396700000000003,5.6673599999999995,12.2252,2.26653,5.65909,6.18595,4.89669
chr11:5012413-5012414,184.227,48.2872,2.0,7.05785,12.2128,12.1736,5.946280000000001,8.663219999999999,5.5
chr11:5012415-5012416,187.145,48.7004,2.0,7.0785100000000005,12.25,12.2686,5.95041,8.69628,5.5
chr11:5012425-5012426,201.731,50.7665,2.0,7.18182,12.436,12.7438,5.97107,8.86157,5.5
chr11:5012472-5012473,258.41900000000004,60.0248,1.93182,7.72934,12.9814,14.593,6.2293400000000005,9.51446,5.22727
chr11:5012481-5012482,263.589,61.1219,1.9132200000000001,7.803719999999999,13.0,14.7975,6.303719999999999,9.57025,5.15289
chr11:5012483-5012484,264.738,61.3657,1.9090900000000002,7.82025,13.0041,14.843,6.32025,9.58264,5.13636
chr11:5108644-5108645,147.5,7.657019999999999,2.2871900000000003,18.4959,20.407,7.19215,8.85331,7.4876,4.27686
chr11:5108646-5108647,149.343,7.61983,2.2913200000000002,18.624000000000002,20.3285,7.26653,8.85331,7.5,4.32645
chr11:5108656-5108657,158.558,7.43388,2.31198,19.2645,19.936,7.6384300000000005,8.85331,7.56198,4.574380000000001
chr11:5150730-5150731,105.62200000000001,7.5392600000000005,6.735539999999999,6.63017,13.280999999999999,26.125999999999998,7.91529,8.45041,6.13636
chr11:5150817-5150818,143.415,10.6136,6.40496,7.469010000000001,13.7273,26.7748,7.70455,7.11983,8.099169999999999
chr11:5150818-5150819,143.269,10.626,6.3843,7.473139999999999,13.7107,26.719,7.70661,7.113639999999999,8.1095
chr11:5173045-5173046,871.105,15.0186,24.093000000000004,136.719,38.1591,275.96299999999997,69.7955,178.643,187.769
chr11:5173047-5173048,885.357,15.1384,24.4979,138.248,38.2459,277.884,70.3698,180.53099999999998,188.95
chr11:5173053-5173054,928.1139999999999,15.4979,25.7128,142.835,38.5062,283.649,72.093,186.196,192.49599999999998
chr11:5173055-5173056,942.3660000000001,15.6178,26.1178,144.364,38.593,285.57,72.6674,188.085,193.678
chr11:5173086-5173087,1105.1,16.8843,31.374000000000002,161.079,38.9174,301.601,78.7231,206.558,204.045
chr11:5173087-5173088,1109.98,16.9215,31.5372,161.57399999999998,38.9215,302.033,78.9008,207.08700000000002,204.331
chr11:5173088-5173089,1114.87,16.9587,31.7004,162.07,38.9256,302.465,79.0785,207.61599999999999,204.61599999999999
chr11:5173106-5173107,1212.24,17.6632,36.1839,171.90900000000002,38.6136,309.395,82.9442,215.66099999999997,210.66099999999997
chr11:5173110-5173111,1234.0,17.8202,37.2004,174.107,38.5393,310.92400000000004,83.81200000000001,217.43,212.017
chr11:5173163-5173164,1328.04,18.7025,47.2252,184.645,35.7273,309.469,88.6116,212.942,219.74
chr11:5173165-5173166,1325.99,18.7107,47.4277,184.558,35.5909,308.986,88.624,212.132,219.702
chr11:5173174-5173175,1316.79,18.7479,48.3388,184.167,34.9773,306.81,88.6798,208.488,219.535
