0,dc40f17e2081-Hudep2_ATAC,d8c53a171a5d-Hudep2_D3_merged_CTCF.all,a95057f6ddf5-Hudep2_BCL11A,e14214331f97-Hudep2_D0_GATA1.all,cc2410e9fe9b-HUDEP2_LRF_CHIP,23219c20dab0-Hudep2_D3_merged_GATA1.all,1807765d87c9-Hudep2_D3_merged_KLF1.all,75b959ea16be-Hudep2_D3_merged_LDB1.all,7a1f325ee3b3-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,60.9751,4.1477900000000005,2.4337,11.0925,11.1782,5.63398,7.12707,5.9779,4.31215
chr11:4167500-4167501,72.9627,3.82873,1.97238,11.0221,11.5677,7.69751,5.85497,6.38122,4.0
chr11:4167503-4167504,72.9296,3.80801,1.9640900000000001,10.9972,11.5801,7.73895,5.81354,6.3605,4.0
chr11:4167534-4167535,70.2735,3.49033,1.9475099999999999,10.5677,11.8812,7.99448,5.3163,5.83564,3.96547
chr11:4167538-4167539,69.8591,3.44613,1.9475099999999999,10.5069,11.9254,8.0221,5.25,5.758290000000001,3.95994
chr11:4167540-4167541,69.6519,3.42403,1.9475099999999999,10.4765,11.9475,8.035910000000001,5.21685,5.719609999999999,3.95718
chr11:4167543-4167544,69.1008,3.39088,1.9599400000000002,10.4309,11.9517,8.023480000000001,5.1837,5.64503,3.95304
chr11:4167547-4167548,68.366,3.34669,1.97652,10.3702,11.9572,8.006910000000001,5.1395,5.54558,3.94751
chr11:4203456-4203457,371.898,80.5359,4.42818,6.75276,16.4461,3.54282,11.0428,10.982000000000001,5.28867
chr11:4203539-4203540,463.86199999999997,93.6657,3.97652,7.43785,14.3329,3.56906,12.1298,11.5511,6.1022099999999995
chr11:4208293-4208294,387.014,67.163,0.870166,12.517999999999999,34.6934,10.2099,25.9171,8.116019999999999,9.24724
chr11:4208334-4208335,473.189,77.0994,0.914365,13.116,36.4047,10.9876,27.6975,8.06906,9.3895
chr11:4208336-4208337,477.29699999999997,77.5691,0.914365,13.1409,36.4903,11.017999999999999,27.7887,8.06354,9.38674
chr11:4208401-4208402,531.8580000000001,82.7348,0.629834,12.9917,37.8964,10.3025,29.7749,7.64088,8.6547
chr11:4208403-4208404,531.7280000000001,82.6768,0.618785,12.9807,37.9075,10.25,29.808000000000003,7.62707,8.624310000000001
chr11:4208411-4208412,530.811,82.3094,0.577348,12.9475,37.9517,10.0124,29.9406,7.58011,8.513810000000001
chr11:4208867-4208868,726.012,137.938,6.46823,10.366,56.1602,5.80249,38.7873,9.432319999999999,8.15193
chr11:4208877-4208878,753.0010000000001,144.05700000000002,6.75829,10.3384,57.7624,5.9958599999999995,39.2017,9.2942,8.19337
chr11:4208881-4208882,763.797,146.504,6.87431,10.3273,58.4033,6.0732,39.3674,9.23895,8.20994
chr11:4208887-4208888,779.99,150.175,7.04834,10.3108,59.3646,6.18923,39.616,9.156080000000001,8.234810000000001
chr11:4208899-4208900,808.7719999999999,156.25,7.33425,10.2776,60.989,6.3964099999999995,39.9144,8.99033,8.37155
chr11:4208911-4208912,835.9019999999999,161.783,7.59392,10.238999999999999,62.5083,6.60083,40.1271,8.81354,8.542819999999999
chr11:4208915-4208916,844.195,163.43,7.67127,10.2169,63.0055,6.67818,40.1657,8.736189999999999,8.609119999999999
chr11:4216264-4216265,413.532,10.1671,7.8384,131.141,28.0041,128.624,49.4323,46.4834,52.2196
chr11:4216266-4216267,418.593,10.2251,7.92956,131.928,28.0428,129.577,49.6699,46.9724,52.4351
chr11:4216271-4216272,431.244,10.3702,8.15746,133.89600000000002,28.1395,131.96,50.2638,48.1948,52.9738
chr11:4216275-4216276,441.366,10.4862,8.339780000000001,135.471,28.2169,133.866,50.739,49.1727,53.4047
chr11:4216307-4216308,509.236,11.203,9.54006,145.36700000000002,28.8591,146.485,53.5773,55.9157,55.9599
chr11:4216317-4216318,520.866,11.2693,9.71133,146.964,29.0773,148.974,53.9669,57.6146,56.2583
chr11:4218202-4218203,34.6754,4.67403,1.17541,8.05387,11.2928,10.384,8.552489999999999,7.88674,6.8232
chr11:4218204-4218205,34.8633,4.6685099999999995,1.1919899999999999,8.020719999999999,11.3453,10.3702,8.549719999999999,7.91989,6.83978
chr11:4218212-4218213,35.5649,4.66713,1.26657,7.86326,11.5801,10.2942,8.54696,8.04006,6.88536
chr11:4218233-4218234,37.1892,4.7541400000000005,1.49862,7.34116,12.3052,10.0041,8.57597,8.3011,6.91436
chr11:4218234-4218235,37.2666,4.758290000000001,1.50967,7.3163,12.3398,9.99033,8.57735,8.31354,6.91575
chr11:4218236-4218237,37.4213,4.76657,1.53177,7.26657,12.4088,9.962710000000001,8.580110000000001,8.3384,6.91851
chr11:4218245-4218246,37.9517,4.81768,1.63812,7.04972,12.7196,9.8384,8.59254,8.40884,6.89641
chr11:4218255-4218256,38.3936,4.8867400000000005,1.76243,6.81492,13.0649,9.700280000000001,8.60635,8.450280000000001,6.84116
chr11:4218313-4218314,35.6202,5.64503,2.30249,5.1588400000000005,15.0041,8.59945,8.91575,8.21685,6.15331
chr11:4218320-4218321,34.6146,5.76105,2.33149,4.975140000000001,15.1685,8.41575,8.993089999999999,8.12983,6.0179599999999995
chr11:4353277-4353278,85.7113,5.75,1.3812200000000001,6.96271,9.71823,6.31492,4.94475,10.0649,5.4116
chr11:4353278-4353279,86.0401,5.75,1.37845,6.99448,9.6989,6.32182,4.92265,10.0746,5.4295599999999995
chr11:4353280-4353281,86.6975,5.75,1.37293,7.05801,9.660219999999999,6.33564,4.87845,10.0939,5.46547
chr11:4353287-4353288,88.9986,5.75,1.35359,7.28039,9.52486,6.38398,4.7237599999999995,10.1616,5.5911599999999995
chr11:4353301-4353302,91.9448,5.7348099999999995,1.29972,7.66436,9.299719999999999,6.45028,4.4599400000000005,10.1754,5.7969599999999994
chr11:4353319-4353320,93.7293,5.7651900000000005,1.19751,8.16436,9.081489999999999,6.53867,4.12293,10.0539,5.99033
chr11:4353343-4353344,94.0525,5.86878,1.03591,8.83564,8.87845,6.67127,3.67956,9.7721,6.17265
chr11:4403276-4403277,283.001,6.74309,2.8011,4.10083,8.457180000000001,17.413,11.6381,13.1436,9.558010000000001
chr11:4403325-4403326,353.32300000000004,7.45028,3.34945,4.46133,8.37845,18.9475,12.8646,15.8052,12.0815
chr11:4403327-4403328,355.251,7.46961,3.36602,4.4779,8.37845,18.9834,12.9033,15.8909,12.1782
chr11:4403334-4403335,362.0,7.53729,3.42403,4.535909999999999,8.37845,19.1091,13.0387,16.1906,12.5166
chr11:4403346-4403347,369.04400000000004,7.60359,3.50691,4.6105,8.37845,19.2334,13.2127,16.5635,13.0304
chr11:4403348-4403349,369.464,7.60635,3.51796,4.61878,8.37845,19.239,13.232000000000001,16.6022,13.105
chr11:4403350-4403351,369.884,7.60912,3.52901,4.62707,8.37845,19.2445,13.2514,16.6409,13.1796
chr11:4403356-4403357,371.144,7.6174,3.56215,4.65193,8.37845,19.261,13.3094,16.7569,13.4033
chr11:4514612-4514613,273.843,55.7887,6.33978,9.777619999999999,18.5884,8.01657,8.26243,6.11602,4.0041400000000005
chr11:4560994-4560995,69.6892,48.3688,1.6989,4.4088400000000005,9.53453,4.1768,9.01657,7.02901,4.23343
chr11:4560996-4560997,70.4461,48.7141,1.6768,4.4419900000000005,9.55663,4.18785,9.02486,7.04834,4.23343
chr11:4561023-4561024,79.0014,52.989,1.37845,4.9088400000000005,9.912980000000001,4.2983400000000005,9.09807,7.27072,4.15608
