0,92024215f23a-Hudep2_ATAC,affbc2d9abf4-Hudep2_D3_merged_CTCF.all,8f7d4ddd76c2-Hudep2_BCL11A,90efe2f7aab8-Hudep2_D0_GATA1.all,1b0ca6cb4e4f-HUDEP2_LRF_CHIP,760d624261bf-Hudep2_D3_merged_GATA1.all,5554c4452489-Hudep2_D3_merged_KLF1.all,de0bc4a36857-Hudep2_D3_merged_LDB1.all,d58686c01b68-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,65.75,4.25,2.5,11.5,10.5,5.75,7.25,6.25,4.0
chr11:4167500-4167501,79.6098,3.9939,1.75,11.2439,12.122,8.2622,5.7378,6.9939,4.0
chr11:4167503-4167504,79.5183,3.9573199999999997,1.75,11.2073,12.1037,8.33537,5.664630000000001,6.957319999999999,4.0
chr11:4167534-4167535,77.1402,3.6585400000000003,1.7804900000000001,10.878,11.9085,8.68902,5.189019999999999,6.53659,4.0
chr11:4167538-4167539,75.6524,3.5853699999999997,1.8048799999999998,10.7805,11.8354,8.640239999999999,5.14024,6.36585,4.0
chr11:4167540-4167541,74.9085,3.5487800000000003,1.81707,10.7317,11.7988,8.61585,5.11585,6.28049,4.0
chr11:4167543-4167544,73.7927,3.4939,1.8353700000000002,10.6585,11.7439,8.57927,5.079269999999999,6.15244,4.0
chr11:4167547-4167548,72.3049,3.4207300000000003,1.8597599999999999,10.561,11.6707,8.530489999999999,5.03049,5.98171,4.0
chr11:4203456-4203457,391.585,84.1707,4.585369999999999,6.7439,16.4207,3.3353699999999997,11.1585,11.2439,5.323169999999999
chr11:4203539-4203540,523.049,101.024,4.2561,7.810980000000001,15.1402,3.75,12.372,11.75,6.689019999999999
chr11:4208293-4208294,391.659,68.6463,1.0,13.1707,35.1098,10.5976,26.1098,8.16463,9.33537
chr11:4208334-4208335,502.95099999999996,81.4756,1.0,13.5,37.311,11.7805,28.372,8.030489999999999,9.591460000000001
chr11:4208336-4208337,507.23199999999997,81.8659,1.0,13.5,37.3354,11.7927,28.4207,8.04268,9.62805
chr11:4208401-4208402,568.061,86.62200000000001,0.731707,12.9634,38.0183,11.061,29.7866,7.8475600000000005,9.04268
chr11:4208403-4208404,566.976,86.4512,0.707317,12.9146,38.0427,10.9756,29.8354,7.810980000000001,8.93293
chr11:4208411-4208412,562.634,85.7683,0.6097560000000001,12.7195,38.1402,10.6341,30.0305,7.664630000000001,8.4939
chr11:4208867-4208868,745.043,140.957,6.62195,10.4817,55.7195,5.71341,40.0122,9.981710000000001,7.2865899999999995
chr11:4208877-4208878,758.25,143.5,6.75,10.5,56.25,5.75,40.25,10.0,7.25
chr11:4208881-4208882,765.201,145.171,6.835369999999999,10.5,56.7622,5.78659,40.311,9.93902,7.310980000000001
chr11:4208887-4208888,786.055,150.183,7.0914600000000005,10.5,58.2988,5.89634,40.4939,9.7561,7.4939
chr11:4208899-4208900,827.762,160.207,7.6036600000000005,10.5,61.372,6.11585,40.8598,9.390239999999999,7.8597600000000005
chr11:4208911-4208912,869.47,170.232,8.11585,10.5,64.4451,6.335369999999999,41.2256,9.024389999999999,8.225610000000001
chr11:4208915-4208916,883.372,173.57299999999998,8.286589999999999,10.5,65.4695,6.40854,41.3476,8.902439999999999,8.347560000000001
chr11:4216264-4216265,454.787,10.6707,8.45122,137.90200000000002,28.3476,131.378,52.0427,47.56100000000001,54.0854
chr11:4216266-4216267,465.274,10.7805,8.63415,139.268,28.4817,132.585,52.4451,48.2073,54.3902
chr11:4216271-4216272,486.25,11.0,9.0,142.0,28.75,135.0,53.25,49.5,55.0
chr11:4216275-4216276,486.25,11.0,9.0,142.0,28.75,135.0,53.25,49.5,55.0
chr11:4216307-4216308,572.128,12.0244,10.878,153.439,29.6037,152.585,55.81100000000001,58.5488,57.7317
chr11:4216317-4216318,602.799,12.3902,11.5488,157.524,29.9085,158.866,56.7256,61.7805,58.7073
chr11:4218202-4218203,35.4573,4.64024,0.920732,8.29878,10.5915,10.6098,8.469510000000001,8.20122,7.310980000000001
chr11:4218204-4218205,35.8232,4.65244,0.957317,8.2378,10.6646,10.5976,8.44512,8.2622,7.3597600000000005
chr11:4218212-4218213,37.2866,4.701219999999999,1.10366,7.9939,10.9573,10.5488,8.347560000000001,8.5061,7.554880000000001
chr11:4218233-4218234,39.0915,4.72561,1.34756,7.6036600000000005,11.5671,10.4024,8.274389999999999,8.774389999999999,7.676830000000001
chr11:4218234-4218235,39.1768,4.71951,1.37195,7.567069999999999,11.6463,10.378,8.280489999999999,8.780489999999999,7.6585399999999995
chr11:4218236-4218237,39.3476,4.707319999999999,1.4207299999999998,7.4939,11.8049,10.3293,8.29268,8.79268,7.62195
chr11:4218245-4218246,40.1159,4.65244,1.6402400000000001,7.164630000000001,12.5183,10.1098,8.347560000000001,8.847560000000001,7.457319999999999
