,0,1,2,3,4,5,6,7
0,chr11,4167421,4167422,chr11,4166983,4168559,10.0,1
1,chr11,4167500,4167501,chr11,4166983,4168559,10.0,1
2,chr11,4167503,4167504,chr11,4166983,4168559,10.0,1
3,chr11,4167534,4167535,chr11,4166983,4168559,10.0,1
4,chr11,4167538,4167539,chr11,4166983,4168559,10.0,1
5,chr11,4167540,4167541,chr11,4166983,4168559,10.0,1
6,chr11,4167543,4167544,chr11,4166983,4168559,10.0,1
7,chr11,4167547,4167548,chr11,4166983,4168559,10.0,1
8,chr11,4203456,4203457,.,-1,-1,0.0,0
9,chr11,4203539,4203540,.,-1,-1,0.0,0
10,chr11,4208293,4208294,chr11,4207255,4209574,12.0,1
11,chr11,4208334,4208335,chr11,4207255,4209574,12.0,1
12,chr11,4208336,4208337,chr11,4207255,4209574,12.0,1
13,chr11,4208401,4208402,chr11,4207255,4209574,12.0,1
14,chr11,4208403,4208404,chr11,4207255,4209574,12.0,1
15,chr11,4208411,4208412,chr11,4207255,4209574,12.0,1
16,chr11,4208867,4208868,chr11,4207255,4209574,12.0,1
17,chr11,4208877,4208878,chr11,4207255,4209574,12.0,1
18,chr11,4208881,4208882,chr11,4207255,4209574,12.0,1
19,chr11,4208887,4208888,chr11,4207255,4209574,12.0,1
20,chr11,4208899,4208900,chr11,4207255,4209574,12.0,1
21,chr11,4208911,4208912,chr11,4207255,4209574,12.0,1
22,chr11,4208915,4208916,chr11,4207255,4209574,12.0,1
23,chr11,4216264,4216265,chr11,4215032,4216817,14.0,1
24,chr11,4216266,4216267,chr11,4215032,4216817,14.0,1
25,chr11,4216271,4216272,chr11,4215032,4216817,14.0,1
26,chr11,4216275,4216276,chr11,4215032,4216817,14.0,1
27,chr11,4216307,4216308,chr11,4215032,4216817,14.0,1
28,chr11,4216317,4216318,chr11,4215032,4216817,14.0,1
29,chr11,4218202,4218203,.,-1,-1,0.0,0
30,chr11,4218204,4218205,.,-1,-1,0.0,0
31,chr11,4218212,4218213,.,-1,-1,0.0,0
32,chr11,4218233,4218234,.,-1,-1,0.0,0
33,chr11,4218234,4218235,.,-1,-1,0.0,0
34,chr11,4218236,4218237,.,-1,-1,0.0,0
35,chr11,4218245,4218246,.,-1,-1,0.0,0
36,chr11,4218255,4218256,.,-1,-1,0.0,0
37,chr11,4218313,4218314,.,-1,-1,0.0,0
38,chr11,4218320,4218321,.,-1,-1,0.0,0
39,chr11,4353277,4353278,.,-1,-1,0.0,0
40,chr11,4353278,4353279,.,-1,-1,0.0,0
41,chr11,4353280,4353281,.,-1,-1,0.0,0
42,chr11,4353287,4353288,.,-1,-1,0.0,0
43,chr11,4353301,4353302,.,-1,-1,0.0,0
44,chr11,4353319,4353320,.,-1,-1,0.0,0
45,chr11,4353343,4353344,.,-1,-1,0.0,0
46,chr11,4403276,4403277,.,-1,-1,0.0,0
47,chr11,4403325,4403326,.,-1,-1,0.0,0
48,chr11,4403327,4403328,.,-1,-1,0.0,0
49,chr11,4403334,4403335,.,-1,-1,0.0,0
50,chr11,4403346,4403347,.,-1,-1,0.0,0
51,chr11,4403348,4403349,.,-1,-1,0.0,0
52,chr11,4403350,4403351,.,-1,-1,0.0,0
53,chr11,4403356,4403357,.,-1,-1,0.0,0
54,chr11,4514612,4514613,.,-1,-1,0.0,0
55,chr11,4560994,4560995,.,-1,-1,0.0,0
56,chr11,4560996,4560997,.,-1,-1,0.0,0
57,chr11,4561023,4561024,.,-1,-1,0.0,0
58,chr11,4629078,4629079,chr11,4628280,4630729,13.0,1
59,chr11,4629151,4629152,chr11,4628280,4630729,13.0,1
