,0,1,2,3,4,5,6,7
0,chr11,4167374,4167375,chr11,4166983,4168559,7.0,1
1,chr11,4167376,4167377,chr11,4166983,4168559,7.0,1
2,chr11,4167377,4167378,chr11,4166983,4168559,7.0,1
3,chr11,4167380,4167381,chr11,4166983,4168559,7.0,1
4,chr11,4167381,4167382,chr11,4166983,4168559,7.0,1
5,chr11,4167383,4167384,chr11,4166983,4168559,7.0,1
6,chr11,4167402,4167403,chr11,4166983,4168559,7.0,1
7,chr11,4167405,4167406,chr11,4166983,4168559,7.0,1
8,chr11,4167407,4167408,chr11,4166983,4168559,7.0,1
9,chr11,4167408,4167409,chr11,4166983,4168559,7.0,1
10,chr11,4167410,4167411,chr11,4166983,4168559,7.0,1
11,chr11,4167416,4167417,chr11,4166983,4168559,7.0,1
12,chr11,4167417,4167418,chr11,4166983,4168559,7.0,1
13,chr11,4167418,4167419,chr11,4166983,4168559,7.0,1
14,chr11,4167419,4167420,chr11,4166983,4168559,7.0,1
15,chr11,4167421,4167422,chr11,4166983,4168559,7.0,1
16,chr11,4167424,4167425,chr11,4166983,4168559,7.0,1
17,chr11,4167432,4167433,chr11,4166983,4168559,7.0,1
18,chr11,4167433,4167434,chr11,4166983,4168559,7.0,1
19,chr11,4167434,4167435,chr11,4166983,4168559,7.0,1
20,chr11,4167450,4167451,chr11,4166983,4168559,7.0,1
21,chr11,4167453,4167454,chr11,4166983,4168559,7.0,1
22,chr11,4167457,4167458,chr11,4166983,4168559,7.0,1
23,chr11,4167460,4167461,chr11,4166983,4168559,7.0,1
24,chr11,4167461,4167462,chr11,4166983,4168559,7.0,1
25,chr11,4167463,4167464,chr11,4166983,4168559,7.0,1
26,chr11,4167465,4167466,chr11,4166983,4168559,7.0,1
27,chr11,4167467,4167468,chr11,4166983,4168559,7.0,1
28,chr11,4167468,4167469,chr11,4166983,4168559,7.0,1
29,chr11,4167470,4167471,chr11,4166983,4168559,7.0,1
30,chr11,4167476,4167477,chr11,4166983,4168559,7.0,1
31,chr11,4167477,4167478,chr11,4166983,4168559,7.0,1
32,chr11,4167479,4167480,chr11,4166983,4168559,7.0,1
33,chr11,4167481,4167482,chr11,4166983,4168559,7.0,1
34,chr11,4167487,4167488,chr11,4166983,4168559,7.0,1
35,chr11,4167488,4167489,chr11,4166983,4168559,7.0,1
36,chr11,4167499,4167500,chr11,4166983,4168559,7.0,1
37,chr11,4167500,4167501,chr11,4166983,4168559,7.0,1
38,chr11,4167502,4167503,chr11,4166983,4168559,7.0,1
39,chr11,4167503,4167504,chr11,4166983,4168559,7.0,1
40,chr11,4167504,4167505,chr11,4166983,4168559,7.0,1
41,chr11,4167505,4167506,chr11,4166983,4168559,7.0,1
42,chr11,4167507,4167508,chr11,4166983,4168559,7.0,1
43,chr11,4167523,4167524,chr11,4166983,4168559,7.0,1
44,chr11,4167524,4167525,chr11,4166983,4168559,7.0,1
45,chr11,4167525,4167526,chr11,4166983,4168559,7.0,1
46,chr11,4167530,4167531,chr11,4166983,4168559,7.0,1
47,chr11,4167532,4167533,chr11,4166983,4168559,7.0,1
48,chr11,4167534,4167535,chr11,4166983,4168559,7.0,1
49,chr11,4167535,4167536,chr11,4166983,4168559,7.0,1
50,chr11,4167537,4167538,chr11,4166983,4168559,7.0,1
51,chr11,4167538,4167539,chr11,4166983,4168559,7.0,1
52,chr11,4167540,4167541,chr11,4166983,4168559,7.0,1
53,chr11,4167543,4167544,chr11,4166983,4168559,7.0,1
54,chr11,4167547,4167548,chr11,4166983,4168559,7.0,1
55,chr11,4203449,4203450,.,-1,-1,0.0,0
56,chr11,4203452,4203453,.,-1,-1,0.0,0
57,chr11,4203456,4203457,.,-1,-1,0.0,0
58,chr11,4203458,4203459,.,-1,-1,0.0,0
