0,Hudep2_ATAC,Hudep2_D3_merged_CTCF.all,Hudep2_BCL11A,Hudep2_D0_GATA1.all,HUDEP2_LRF_CHIP,GM12878_ATAC,Hudep2_D3_merged_GATA1.all,Hudep2_D3_merged_KLF1.all,Hudep2_D3_merged_LDB1.all,Hudep2_D3_merged_TAL1.all
chr11:4167321-4167522,60.2811,4.1330800000000005,2.42786,10.9963,11.1978,9.35323,5.645519999999999,7.07711,5.91791,4.33085
chr11:4167400-4167601,72.0622,3.80473,2.0024900000000003,10.9888,11.505,11.699000000000002,7.62189,5.8669199999999995,6.29478,3.99876
chr11:4167403-4167604,71.7823,3.7748800000000005,2.0024900000000003,10.9478,11.5348,11.7699,7.64055,5.82214,6.24254,3.99502
chr11:4167434-4167635,68.8905,3.46642,2.0024900000000003,10.5236,11.8433,12.5025,7.83333,5.35945,5.70274,3.9564699999999995
chr11:4167438-4167639,68.5174,3.4266199999999998,2.0024900000000003,10.4689,11.8831,12.597000000000001,7.858210000000001,5.29975,5.6330800000000005,3.95149
chr11:4167440-4167641,68.3308,3.4067199999999995,2.0024900000000003,10.4415,11.902999999999999,12.6443,7.87065,5.2699,5.59826,3.949
chr11:4167443-4167644,68.051,3.37687,2.0024900000000003,10.4005,11.9328,12.7152,7.8893,5.2251199999999995,5.5460199999999995,3.94527
chr11:4167447-4167648,67.6779,3.3370599999999997,2.0024900000000003,10.3458,11.9726,12.8097,7.91418,5.16542,5.476369999999999,3.9403
chr11:4203356-4203557,367.69800000000004,79.9204,4.363180000000001,6.761189999999999,16.3644,97.2313,3.5634300000000003,11.0435,10.9465,5.27612
chr11:4203439-4203640,450.231,91.7463,3.96642,7.344530000000001,14.2624,124.335,3.56219,12.0423,11.4838,5.9676599999999995
chr11:4208193-4208394,382.531,66.4055,0.8407959999999999,12.3669,34.541,76.2027,10.1206,25.7749,8.13433,9.195269999999999
chr11:4208234-4208435,463.108,75.7711,0.873134,12.9428,36.2027,85.8221,10.7774,27.541,8.03731,9.26368
chr11:4208236-4208437,466.80699999999996,76.194,0.873134,12.9652,36.2799,86.2326,10.8047,27.6231,8.03234,9.26119
chr11:4208301-4208502,526.974,82.1294,0.6194029999999999,13.0025,37.8818,85.9453,10.1853,29.7724,7.62189,8.611939999999999
chr11:4208303-4208504,526.499,81.9552,0.6119399999999999,13.0025,37.8918,85.6592,10.1132,29.8022,7.6169199999999995,8.59453
chr11:4208311-4208512,524.5980000000001,81.2587,0.58209,13.0025,37.9316,84.5149,9.82463,29.9216,7.597010000000001,8.52488
chr11:4208767-4208968,728.35,138.006,6.45896,10.3296,56.2935,225.655,5.8718900000000005,38.5846,9.33955,8.32338
chr11:4208777-4208978,752.653,143.516,6.72015,10.3047,57.7363,238.50400000000002,6.0460199999999995,38.9577,9.21517,8.3607
chr11:4208781-4208982,762.3739999999999,145.72,6.82463,10.2948,58.3134,243.643,6.11567,39.107,9.16542,8.37562
chr11:4208787-4208988,776.956,149.026,6.981339999999999,10.2799,59.1791,251.352,6.22015,39.3308,9.0908,8.398010000000001
chr11:4208799-4209000,806.1210000000001,155.638,7.29478,10.25,60.9104,266.77,6.4291,39.7786,8.94154,8.442789999999999
chr11:4208811-4209012,828.8839999999999,160.213,7.50995,10.1903,62.2836,275.889,6.64055,39.903,8.73259,8.61318
chr11:4208815-4209016,836.352,161.695,7.5796,10.1704,62.7313,278.84,6.7102,39.9378,8.662939999999999,8.672889999999999
chr11:4216164-4216365,408.28,10.0634,7.71766,130.119,28.0037,4.36194,128.30100000000002,49.041000000000004,46.5224,51.8993
