0,be58cf76d97b-1440317_H3K27ac_H2_D3.all,83c5ee70b54c-Hudep2_ATAC,ff172dc44bae-1686607_H2_ABEmax_RNAseq.all,a5827a3aed28-Hudep2_D3_merged_CTCF.all,0e736a158439-Hudep2_BCL11A,f4de4caca3a7-1440315_H3K27me3_H2_D3.all,9c840e19bbed-Hudep2_D0_GATA1.all,f0663efdfef9-HUDEP2_LRF_CHIP,50d97c7d24d1-1788283_H2_ABEmax.all,7f7f32ae893c-Hudep2_D3_merged_GATA1.all,239c569c6374-Hudep2_D3_merged_KLF1.all,6af40841b8aa-1440311_H3K9me3_H2_D3.all,b9695d26860d-Hudep2_D3_merged_LDB1.all,188da58c07d8-1440307_H3K4me1_H2_D3.all,5f7c070fdda9-Hudep2_D3_merged_TAL1.all,35630c3a763e-1440313_H3K9ac_H2_D3.all,5ce8a22e939d-1440319_H3K36me3_H2_D3.all,0bf9f8a97328-1440309_H3K4me3_H2_D3.all
chr11:4167421-4167422,4.5,65.75,3.0,4.25,2.5,2.25,11.5,10.5,2.5,5.75,7.25,0.75,6.25,6.25,4.0,1.5,1.5,1.75
chr11:4167500-4167501,3.59091,79.5682,1.22727,3.97727,1.75,1.5,11.2273,12.1136,1.72727,8.29545,5.70455,0.8636360000000001,6.97727,6.34091,4.0,1.63636,2.02273,2.38636
chr11:4167503-4167504,3.38636,79.2273,1.09091,3.84091,1.75,1.5,11.0909,12.0455,1.59091,8.56818,5.43182,0.795455,6.840910000000001,6.13636,4.0,1.70455,2.15909,2.45455
chr11:4167534-4167535,3.25,79.0,1.0,3.75,1.75,1.5,11.0,12.0,1.5,8.75,5.25,0.75,6.75,6.0,4.0,1.75,2.25,2.5
chr11:4167538-4167539,3.25,79.0,1.0,3.75,1.75,1.5,11.0,12.0,1.5,8.75,5.25,0.75,6.75,6.0,4.0,1.75,2.25,2.5
chr11:4167540-4167541,3.25,79.0,1.0,3.75,1.75,1.5,11.0,12.0,1.5,8.75,5.25,0.75,6.75,6.0,4.0,1.75,2.25,2.5
chr11:4167543-4167544,3.25,79.0,1.0,3.75,1.75,1.5,11.0,12.0,1.5,8.75,5.25,0.75,6.75,6.0,4.0,1.75,2.25,2.5
chr11:4167547-4167548,3.25,74.8409,1.0,3.54545,1.81818,1.36364,10.7273,11.7955,1.5,8.61364,5.11364,0.75,6.27273,5.93182,4.0,1.95455,2.18182,2.77273
chr11:4203456-4203457,4.5,437.0,0.0,91.0,4.5,1.0,7.0,16.25,0.0,3.25,11.5,1.25,11.5,3.0,5.75,3.25,0.75,0.5
chr11:4203539-4203540,5.0,532.5,0.0,102.0,4.5,1.0,7.75,15.75,0.5,3.75,12.25,1.5,11.75,2.75,6.75,4.75,1.0,0.5
chr11:4208293-4208294,4.5,339.5,0.0,62.5,1.0,2.25,13.0,34.0,0.0,10.0,25.0,2.25,8.25,6.75,9.25,6.5,2.25,27.5
chr11:4208334-4208335,6.5,492.25,0.25,80.5,1.0,2.5,13.5,37.25,0.0,11.75,28.25,3.5,8.0,4.75,9.5,7.75,3.5,43.25
chr11:4208336-4208337,6.5,492.25,0.25,80.5,1.0,2.5,13.5,37.25,0.0,11.75,28.25,3.5,8.0,4.75,9.5,7.75,3.5,43.25
chr11:4208401-4208402,8.11364,565.841,0.5,86.2727,0.681818,2.5,12.8636,38.0682,0.0,10.8864,29.8864,3.5,7.77273,3.34091,8.81818,9.61364,4.31818,55.6136
chr11:4208403-4208404,8.43182,561.795,0.5,85.6364,0.590909,2.5,12.6818,38.1591,0.0,10.5682,30.0682,3.5,7.636360000000001,3.29545,8.409089999999999,9.93182,4.40909,56.4318
chr11:4208411-4208412,8.75,557.75,0.5,85.0,0.5,2.5,12.5,38.25,0.0,10.25,30.25,3.5,7.5,3.25,8.0,10.25,4.5,57.25
chr11:4208867-4208868,14.75,758.25,0.0,143.5,6.75,1.75,10.5,56.25,2.75,5.75,40.25,2.75,10.0,3.75,7.25,6.25,2.75,71.0
chr11:4208877-4208878,14.75,758.25,0.0,143.5,6.75,1.75,10.5,56.25,2.75,5.75,40.25,2.75,10.0,3.75,7.25,6.25,2.75,71.0
chr11:4208881-4208882,14.75,758.25,0.0,143.5,6.75,1.75,10.5,56.25,2.75,5.75,40.25,2.75,10.0,3.75,7.25,6.25,2.75,71.0
chr11:4208887-4208888,14.75,758.25,0.0,143.5,6.75,1.75,10.5,56.25,2.75,5.75,40.25,2.75,10.0,3.75,7.25,6.25,2.75,71.0
chr11:4208899-4208900,14.9773,823.023,0.0,159.06799999999998,7.54545,1.97727,10.5,61.0227,2.29545,6.09091,40.8182,3.20455,9.43182,3.52273,7.81818,6.47727,3.09091,70.2045
chr11:4208911-4208912,15.25,900.75,0.0,177.75,8.5,2.25,10.5,66.75,1.75,6.5,41.5,3.75,8.75,3.25,8.5,6.75,3.5,69.25
chr11:4208915-4208916,15.25,900.75,0.0,177.75,8.5,2.25,10.5,66.75,1.75,6.5,41.5,3.75,8.75,3.25,8.5,6.75,3.5,69.25
chr11:4216264-4216265,5.75,486.25,0.25,11.0,9.0,1.25,142.0,28.75,0.0,135.0,53.25,5.0,49.5,6.0,55.0,5.5,1.25,6.75
chr11:4216266-4216267,5.75,486.25,0.25,11.0,9.0,1.25,142.0,28.75,0.0,135.0,53.25,5.0,49.5,6.0,55.0,5.5,1.25,6.75
chr11:4216271-4216272,5.75,486.25,0.25,11.0,9.0,1.25,142.0,28.75,0.0,135.0,53.25,5.0,49.5,6.0,55.0,5.5,1.25,6.75
chr11:4216275-4216276,5.75,486.25,0.25,11.0,9.0,1.25,142.0,28.75,0.0,135.0,53.25,5.0,49.5,6.0,55.0,5.5,1.25,6.75
chr11:4216307-4216308,3.0,612.0,0.0,12.5,11.75,1.0,158.75,30.0,0.0,160.75,57.0,4.5,62.75,6.25,59.0,6.0,1.0,7.75
chr11:4216317-4216318,3.0,612.0,0.0,12.5,11.75,1.0,158.75,30.0,0.0,160.75,57.0,4.5,62.75,6.25,59.0,6.0,1.0,7.75
chr11:4218202-4218203,2.11364,36.7045,0.0,4.68182,1.04545,0.681818,8.090910000000001,10.8409,0.386364,10.5682,8.38636,2.25,8.409089999999999,6.20455,7.47727,4.45455,4.5,3.3181800000000004
chr11:4218204-4218205,2.20455,38.0682,0.0,4.72727,1.18182,0.727273,7.863639999999999,11.1136,0.295455,10.5227,8.29545,2.25,8.63636,6.06818,7.659089999999999,4.31818,4.5,3.27273
chr11:4218212-4218213,2.25,38.75,0.0,4.75,1.25,0.75,7.75,11.25,0.25,10.5,8.25,2.25,8.75,6.0,7.75,4.25,4.5,3.25
chr11:4218233-4218234,2.25,38.75,0.0,4.75,1.25,0.75,7.75,11.25,0.25,10.5,8.25,2.25,8.75,6.0,7.75,4.25,4.5,3.25
chr11:4218234-4218235,2.25,38.75,0.0,4.75,1.25,0.75,7.75,11.25,0.25,10.5,8.25,2.25,8.75,6.0,7.75,4.25,4.5,3.25
chr11:4218236-4218237,2.25,38.75,0.0,4.75,1.25,0.75,7.75,11.25,0.25,10.5,8.25,2.25,8.75,6.0,7.75,4.25,4.5,3.25
chr11:4218245-4218246,2.25,39.0682,0.0,4.72727,1.34091,0.795455,7.613639999999999,11.5455,0.227273,10.4091,8.272730000000001,2.20455,8.772730000000001,5.97727,7.68182,4.22727,4.38636,3.3181800000000004
chr11:4218255-4218256,2.25,42.25,0.0,4.5,2.25,1.25,6.25,14.5,0.0,9.5,8.5,1.75,9.0,5.75,7.0,4.0,3.25,4.0
chr11:4218313-4218314,2.0,39.25,0.0,5.75,2.75,1.5,4.75,16.0,0.0,8.25,9.0,1.5,8.25,6.0,5.75,3.75,3.25,4.0
chr11:4218320-4218321,2.0,39.25,0.0,5.75,2.75,1.5,4.75,16.0,0.0,8.25,9.0,1.5,8.25,6.0,5.75,3.75,3.25,4.0
chr11:4353277-4353278,4.25,95.0,0.0,5.75,1.5,2.0,6.75,9.5,0.0,6.0,5.0,1.25,10.75,5.0,5.25,3.75,0.5,4.5
chr11:4353278-4353279,4.25,95.0,0.0,5.75,1.5,2.0,6.75,9.5,0.0,6.0,5.0,1.25,10.75,5.0,5.25,3.75,0.5,4.5
chr11:4353280-4353281,4.25,95.0,0.0,5.75,1.5,2.0,6.75,9.5,0.0,6.0,5.0,1.25,10.75,5.0,5.25,3.75,0.5,4.5
chr11:4353287-4353288,4.25,95.0,0.0,5.75,1.5,2.0,6.75,9.5,0.0,6.0,5.0,1.25,10.75,5.0,5.25,3.75,0.5,4.5
chr11:4353301-4353302,4.56818,104.227,0.0,5.59091,1.18182,1.8409099999999998,7.863639999999999,8.70455,0.0,6.636360000000001,4.20455,1.25,10.5909,5.15909,6.20455,3.75,0.5,3.38636
chr11:4353319-4353320,4.75,109.5,0.0,5.5,1.0,1.75,8.5,8.25,0.0,7.0,3.75,1.25,10.5,5.25,6.75,3.75,0.5,2.75
chr11:4353343-4353344,4.75,109.5,0.0,5.5,1.0,1.75,8.5,8.25,0.0,7.0,3.75,1.25,10.5,5.25,6.75,3.75,0.5,2.75
chr11:4403276-4403277,6.75,298.5,0.0,7.0,2.75,1.0,4.25,9.0,0.0,17.75,11.75,3.5,13.5,6.0,8.75,3.5,1.75,5.5
chr11:4403325-4403326,5.5,404.0,0.0,8.0,3.5,1.5,4.5,7.5,0.0,20.25,13.0,3.25,17.0,8.5,12.5,4.0,2.25,7.0
chr11:4403327-4403328,5.5,404.0,0.0,8.0,3.5,1.5,4.5,7.5,0.0,20.25,13.0,3.25,17.0,8.5,12.5,4.0,2.25,7.0
chr11:4403334-4403335,5.5,404.0,0.0,8.0,3.5,1.5,4.5,7.5,0.0,20.25,13.0,3.25,17.0,8.5,12.5,4.0,2.25,7.0
chr11:4403346-4403347,5.18182,406.955,0.0,8.0,3.59091,1.63636,4.54545,7.636360000000001,0.0,20.25,13.2727,3.06818,17.2727,8.36364,13.0455,3.95455,2.20455,6.95455
chr11:4403348-4403349,4.86364,409.909,0.0,8.0,3.6818199999999996,1.77273,4.59091,7.77273,0.0,20.25,13.5455,2.88636,17.5455,8.227269999999999,13.5909,3.90909,2.15909,6.909089999999999
chr11:4403350-4403351,4.54545,412.86400000000003,0.0,8.0,3.77273,1.9090900000000002,4.63636,7.909089999999999,0.0,20.25,13.8182,2.70455,17.8182,8.090910000000001,14.1364,3.86364,2.11364,6.863639999999999
chr11:4403356-4403357,3.75,420.25,0.0,8.0,4.0,2.25,4.75,8.25,0.0,20.25,14.5,2.25,18.5,7.75,15.5,3.75,2.0,6.75
chr11:4514612-4514613,2.5,311.5,0.0,60.5,7.5,1.0,10.25,19.25,0.0,8.5,8.25,2.25,6.0,5.25,4.25,2.0,1.75,2.0
chr11:4560994-4560995,3.5,63.25,0.0,44.75,2.0,1.5,3.75,9.75,0.0,4.0,9.25,2.75,7.0,2.25,4.5,5.5,1.0,0.0
chr11:4560996-4560997,3.54545,68.9318,0.0,47.2045,1.9090900000000002,1.54545,4.02273,9.79545,0.0,4.13636,9.29545,2.70455,7.090910000000001,2.20455,4.54545,5.40909,1.04545,0.0
chr11:4561023-4561024,3.75,94.5,0.0,58.25,1.5,1.75,5.25,10.0,0.0,4.75,9.5,2.5,7.5,2.0,4.75,5.0,1.25,0.0
chr11:4629078-4629079,15.75,220.75,2.5,12.0,0.25,3.5,3.75,39.25,2.5,6.25,22.25,3.75,10.75,3.5,5.5,7.25,5.75,44.25
chr11:4629151-4629152,18.3182,425.13599999999997,3.0,12.2955,2.45455,5.5,6.54545,38.0,2.68182,8.31818,25.3182,5.06818,10.3409,2.77273,9.022730000000001,5.68182,4.02273,53.6818
chr11:4647582-4647583,0.25,117.75,0.0,74.75,5.5,1.5,5.5,10.75,0.0,2.5,7.5,5.5,7.25,2.25,5.75,1.75,1.0,1.0
chr11:4647604-4647605,0.0227273,143.886,0.0,82.25,3.0,1.27273,5.04545,10.75,0.0,2.27273,8.63636,4.36364,7.25,2.02273,5.97727,1.52273,1.45455,1.22727
chr11:4647611-4647612,0.0,146.5,0.0,83.0,2.75,1.25,5.0,10.75,0.0,2.25,8.75,4.25,7.25,2.0,6.0,1.5,1.5,1.25
chr11:4647612-4647613,0.0,146.5,0.0,83.0,2.75,1.25,5.0,10.75,0.0,2.25,8.75,4.25,7.25,2.0,6.0,1.5,1.5,1.25
chr11:4658295-4658296,3.38636,173.477,0.0,60.3636,2.02273,2.0,5.77273,13.2273,0.0,2.25,7.159089999999999,1.52273,8.340910000000001,3.9318199999999996,4.56818,0.545455,1.06818,4.68182
chr11:4658347-4658348,4.81818,205.25,0.0,65.6136,2.25,2.0,5.86364,12.5909,0.0,2.25,5.90909,1.75,6.34091,3.11364,5.11364,1.0,1.8863599999999998,6.5
chr11:5012413-5012414,4.0,207.75,0.0,51.25,2.0,1.0,7.25,12.5,0.0,12.5,5.75,1.0,9.0,2.75,5.5,2.75,1.25,1.5
chr11:5012415-5012416,4.0,207.75,0.0,51.25,2.0,1.0,7.25,12.5,0.0,12.5,5.75,1.0,9.0,2.75,5.5,2.75,1.25,1.5
chr11:5012425-5012426,4.0,207.75,0.0,51.25,2.0,1.0,7.25,12.5,0.0,12.5,5.75,1.0,9.0,2.75,5.5,2.75,1.25,1.5
chr11:5012472-5012473,3.5,284.5,0.0,62.75,2.0,1.0,7.75,13.5,0.0,15.75,6.25,1.0,9.75,3.5,5.5,4.25,0.75,1.5
chr11:5012481-5012482,3.5,284.5,0.0,62.75,2.0,1.0,7.75,13.5,0.0,15.75,6.25,1.0,9.75,3.5,5.5,4.25,0.75,1.5
chr11:5012483-5012484,3.5,284.5,0.0,62.75,2.0,1.0,7.75,13.5,0.0,15.75,6.25,1.0,9.75,3.5,5.5,4.25,0.75,1.5
chr11:5108644-5108645,3.0,133.25,0.0,8.0,2.25,2.25,17.25,22.0,0.0,6.5,9.0,0.75,7.5,0.5,4.25,2.25,0.5,1.0
chr11:5108646-5108647,2.95455,141.75,0.0,7.909089999999999,2.20455,2.15909,17.8864,21.5,0.0,6.81818,8.95455,0.795455,7.5,0.545455,4.34091,2.15909,0.5,1.04545
chr11:5108656-5108657,2.75,180.0,0.0,7.5,2.0,1.75,20.75,19.25,0.0,8.25,8.75,1.0,7.5,0.75,4.75,1.75,0.5,1.25
chr11:5150730-5150731,6.5,103.5,0.0,7.25,7.0,1.5,6.5,13.5,0.0,26.75,8.0,2.25,8.75,7.0,6.0,6.0,1.5,3.25
chr11:5150817-5150818,9.0,150.75,0.25,11.0,6.25,2.5,7.5,13.75,0.0,27.75,7.5,1.0,7.0,8.0,8.25,6.75,1.75,4.75
